游戏名称,游戏ID
Counter-Strike,10
Counter-Strike: Condition Zero,80
Counter-Strike: Condition Zero Deleted Scenes,100
Counter-Strike: Source,240
Insaniquarium! Deluxe,3320
Half-Life 2,220
Half-Life 2: Deathmatch,320
Half-Life 2: Lost Coast,340
Half-Life Deathmatch: Source,360
Half-Life 2: Episode One,380
Portal,400
Half-Life 2: Episode Two,420
Plants vs. Zombies: Game of the Year,3590
The Witcher: Enhanced Edition,20900
Warframe,230410
Arma 3,107410
PAYDAY 2,218620
Darkest Dungeon®,262060
Lords Of The Fallen,265300
DARK SOULS™ II: Scholar of the First Sin,335300
The Talos Principle,257510
Divinity: Original Sin (Classic),230230
Divinity: Original Sin Enhanced Edition,373420
RPG Maker MV,363890
Stardew Valley,413150
Wallpaper Engine,431960
DOOM,379720
Agony,487720
The Elder Scrolls V: Skyrim Special Edition,489830
Resident Evil 7 Biohazard,418370
Planet Coaster,493340
古剑奇谭二(GuJian2),570770
Shadow Tactics: Blades of the Shogun,418240
Idle Champions of the Forgotten Realms,627690
Mirror,644560
Tricolour Lovestory,668630
古剑奇谭(GuJian),570780
Bloodstained: Ritual of the Night,692850
Scorn,698670
Divinity: Original Sin 2,435150
Counter-Strike 2,730
Green Hell,815370
Fox Hime Zero,844930
HITMAN™ 2,863550
Resident Evil 4 (2005),254700
Sakura MMO,935070
LoveChoice,939400
Sakura MMO 2,968950
Minion Masters,489520
Crown Trick,1000010
Warhammer Horus Heresy: Legions,1031140
Nyasha,1035930
Fluffy Store,1038740
Sekiro™: Shadows Die Twice,814380
Sakura MMO 3,1064130
Tales of the Black Forest,1093910
Ninja Girl and the Mysterious Army of Urban Legend Monsters! ~Hunt of the Headless Horseman~,1094930
Halo: The Master Chief Collection,976730
As Far As The Eye,1119700
Curse of the Dead Gods,1123770
Internet Cafe Simulator,1136160
Destiny 2,1085660
Apex Legends,1172470
STAR WARS Jedi: Fallen Order™ ,1172380
Half-Life: Alyx,546560
Hades,1145360
Seek Girl Ⅳ,1212830
STAR WARS™: Squadrons,1222730
Tom Clancy's Rainbow Six Siege,359550
Tom Clancy's Rainbow Six Siege - Test Server,623990
Summer Memories,1227890
DOOM Eternal,782330
Battlefield 3™ ,1238820
Battlefield 1 ™,1238840
Far Away,1250760
WolfTeam: Classic,1287290
Cross Princess,1301620
Singing Iris 鸢之歌,1315160
Angel Legion: LSP Idle RPG,1333350
Vampires' Melody,1377360
Midnight Fight Express,1390410
The Legend of Tianding,1406850
Cross Maid,1424870
It Takes Two,1426210
Deponia,214340
Ken Follett's The Pillars of the Earth,234270
World of Tanks,1407200
Battlefield™ V,1238810
Yu-Gi-Oh!  Master Duel,1449850
Sakura MMO Extra,1466680
Symphony of War: The Nephilim Saga,1488200
Capcom Arcade Stadium,1515950
Battlefield™ 2042,1517290
Chasing Tails -A Promise in the Snow-,1555110
Internet Cafe Simulator 2,1563180
Citizen Sleeper,1578650
OTXO,1608640
Cities: Skylines,255710
Company of Heroes 2,231430
Little Nightmares,424840
theHunter: Call of the Wild™,518790
Warlander,1675900
Persona 5 Royal,1687950
CROWZ,1692070
Devil May Cry 5,601150
SCP : Secret Files,1718130
Mirror Party,1787820
Mirror 2: Project X,1832640
Call of Juarez Gunslinger,204450
Terraformers,1244800
WRC 7,621830
Touhou Hero of Ice Fairy,1955830
ヘブンバーンズレッド,1973710
Baldur's Gate II: Enhanced Edition,257350
ARK: Survival Evolved,346110
ARK: Survival Of The Fittest,407530
The First Descendant,2074920
Warhaven,2107670
Warhammer: Vermintide 2,552500
Once Human,2139460
Killing Floor,1250
Killing Floor 2,232090
Monster Girl2,2158500
Call of Duty®: Modern Warfare® II - Open Beta,2075730
The Sims™ 4,1222670
Yog-Sothoth's Yard,2194530
SAO Utils 2: Progressive,877280
Call of Duty®,1938090
The Callisto Protocol,1544020
Hi-Fi RUSH,1817230
We Were Here Expeditions: The FriendShip,2296990
Tiny Tina's Assault on Dragon Keep: A Wonderlands One-shot Adventure,1712840
Kagura Survivors: Endless Night,2348120
Hero's Land,2349820
Overwatch® 2,2357570
Desktop Dungeons,226620
Metro: Last Light Complete Edition,43160
Town of Sins,2449710
Black Skylands,1143810
Dungeon of the ENDLESS™,249050
ASTRA: Knights of Veda,2484250
NARAKA: BLADEPOINT,1203220
Vampires' Melody 2,2532050
Age of Empires III: Definitive Edition,933110
Warhammer Age of Sigmar: Realms of Ruin,1844380
Street Fighter V,310950
The RPG Engine,1818180
Atelier Resleriana: Forgotten Alchemy and the Polar Night Liberator,2594920
Astral Party ,2622000
Half-Life,70
Palia,2707930
Ultimate Zombie Defense,1035510
GRIS,683320
Dead Island Riptide Definitive Edition,383180
HUMANKIND™,1124300
RPG Maker XP,235900
100% Orange Juice,282800
Psycholonials,1529810
Content Warning,2881650
Machinika Museum,1507190
Banana,2923300
Tell Me Why,1180660
"Warhammer 40,000: Gladius - Relics of War",489630
Islands of Insight,2071500
